"id";"name"
1;"Estrada e Pontes"
2;"Electricidade"
3;"Controlo Cheias"
4;"Urbanizasaun"
5;"Estudu"
6;"Assets"
8;"Agua e Sanitasaun"
9;"Office Furniture"
10;"Office Building"
11;"Trip Air Ticket"
12;"Media"
13;"Petrol"
14;"Supply and Installation of IT and Electrical Equip"
15;"Melloramentu Jardim"
