"id";"code";"name"
1;"ICB";"International Competitive Bidding"
2;"NCB";"National Competitive Bidding"
3;"RFQ";"Request for Quotation"
4;"RFP";"Request for Proposal"
5;"RT";"Restricted Tender"
6;"SS";"Single Source"
7;"CC";"Confirmation Contract"
8;"FBS";"Feasibility Study"
9;"ASC";"Aquisição Sem Concurso"
10;"SP";"Simplifies Procedure"
11;"KP";"Konkursu Publiku"
