"id";"name"
1;"Ministro"
2;"Vice Ministro"
3;"Chefe Gabinete"
4;"DG"
5;"Director"
6;"Chefe Departamentu"
7;"Chefe Seksaun"
8;"Engenheru"
9;"Staff"
10;"Supervizor"
