"id";"code";"name"
1;"DNA";"Direcção Nacional Aprovisionamento"
2;"DNOF";"Direcção Nacional da Orsamento e Finanças"
3;"DGAF";"Direcção-Geral da Administração e Finanças"
4;"UVIP";"UVIP"
5;"GAB";"Gabinete Ministro"
6;"ADN";"Agencia do Desenvolvimento Nacional"
7;"SGP";"Secretariado de Grande Projecto"
8;"MF";"Ministério das Finanças"
