"id";"code";"name"
1;"DGA";"Direcção Geral de Administração"
2;"DGPOFA";"Direção Geral de Planeamento, Orçamento, Finanças e Aprovisionamento"
3;"DGEPPCC";"Direção Geral de Estradas, Pontes, Prevenção e Controlo de Cheias"
4;"DGHU";"Direção Geral de Habitação e Urbanismo"
5;"GAB";"Gabinete"
