"id";"total";"desc";"is_confirm";"datetime";"hashed";"contract_id";"user_id"
1;48304.86;"Retensaun";1;"2023-06-12 23:22:28.220581";"c4ca4238a0b923820dcc509a6f75849b";406;2
2;47261.74;"Retensaun";1;"2023-06-12 23:22:55.810124";"c81e728d9d4c2f636f067f89cc14862c";417;2
