"id";"name";"reg_number";"start_date";"email";"phone";"website";"address";"type";"city";"lat";"lng";"is_active";"datetime";"hashed";"country_id";"municipality_id";"user_id"
37;"Daughters of Mary Help of Christians";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 11:27:35.409223";"a5bfc9e07964f8dddeb95fc584cd965d";1;1;1
38;"Consultant & Engineering Intercontinental Unip. Lda";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 11:27:52.685302";"a5771bce93e200c36f7cd9dfd0e5deaa";1;1;1
39;"Wan Husin & ACC SDN BHD";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 11:28:08.658632";"d67d8ab4f4c10bf22aa353e27879133c";1;1;1
40;"East Digital Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 11:32:36.155207";"d645920e395fedad7bbbed0eca3fe2e0";1;1;1
41;"Dapur Sei Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 11:36:47.495025";"3416a75f4cea9109507cacd8e2f2aefc";1;1;1
42;"Edzores83 JP Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-18 11:39:29.642992";"a1d0c6e83f027327d8461063f4ac58a6";1;1;1
43;"Hatutan Moris Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 01:41:31.892130";"17e62166fc8586dfa4d1bc0e1742c08b";1;1;1
44;"Manoko Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 01:47:00.416327";"f7177163c833dff4b38fc8d2872f1ec6";1;1;1
45;"J21 Jordanito Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 03:53:19.232714";"6c8349cc7260ae62e3b1396831a8398f";1;1;1
46;"Kay Megi Lara Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 03:53:38.170301";"d9d4f495e875a2e075a1a4a6e1b9770f";1;1;1
47;"Leader Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 03:54:00.947695";"67c6a1e7ce56d3d6fa748ab6d9af3fd7";1;1;1
48;"Lidrinha Silso Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 03:54:11.847929";"642e92efb79421734881b53e1e1b18b6";1;1;1
49;"LNG Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 03:54:23.702555";"f457c545a9ded88f18ecee47145a72c0";1;1;1
50;"Mercury Center Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 03:54:34.852273";"c0c7c76d30bd3dcaefc96f40275bdc0a";1;1;1
51;"Paratrizel Unip. Lda";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 03:54:46.853547";"2838023a778dfaecdc212708f721b788";1;1;1
52;"Pin Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 03:55:08.440027";"9a1158154dfa42caddbd0694a4e9bdc8";1;1;1
53;"Rredi Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 03:55:32.846785";"d82c8d1619ad8176d665453cfb2e55f0";1;1;1
54;"Rose Gold Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 05:43:58.540217";"a684eceee76fc522773286a895bc8436";1;1;1
55;"Sampala Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 05:44:18.960680";"b53b3a3d6ab90ce0268229151c9bde11";1;1;1
56;"Trapesium Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 05:44:40.023605";"9f61408e3afb633e50cdf1b20de6f466";1;1;1
57;"Vanessa Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 05:44:52.701417";"72b32a1f754ba1c09b3695e0cb6cde7f";1;1;1
58;"Visimitra Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 05:45:13.708428";"66f041e16a60928b05a7e228a89c3799";1;1;1
59;"Carisan Bonansa Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 06:08:33.834835";"093f65e080a295f8076b1c5722a46aa2";1;1;1
60;"Claridade Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 06:13:02.810680";"072b030ba126b2f4b2374f342be9ed44";1;1;1
61;"DB Ingracia Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 06:17:42.985659";"7f39f8317fbdb1988ef4c628eba02591";1;1;1
62;"Delta Nova Junior Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 06:21:20.275645";"44f683a84163b3523afe57c2e008bc8c";1;1;1
63;"Dini Kede Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 06:24:58.257202";"03afdbd66e7929b125f8597834fa83a4";1;1;1
64;"Fatbui Joes Unip. Lda.";"";"";"";"";"";"";"";"";"";"";1;"2023-03-19 06:28:01.981706";"ea5d2f1c4608232e07d3aa3d998e5135";1;1;1
