"id";"start_lat";"start_lng";"end_lat";"end_lng";"administrativepost_id";"aldeia_id";"municipality_id";"project_id";"village_id"
442;"-8.553871431";"125.5340599";"";"";30;0;6;442;208
443;"-8.549963735";"125.5650611";"";"";30;0;6;443;210
444;"-8.554022814";"125.5622066";"";"";30;0;6;444;210
445;"-8.554235834";"125.5367271";"";"";30;0;6;445;208
446;"-8.557338";"125.594264";"";"";29;0;6;446;0
447;"-8.551439655";"125.5847284";"";"";0;0;6;447;218
448;"";"";"";"";0;0;6;448;218
449;"-8.473805";"126.515862";"";"";10;0;3;449;0
450;"-8.597814";"125.308606";"";"";46;0;9;450;332
451;"";"";"";"";0;0;13;451;441
452;"-8.495007";"125.825538";"";"";31;0;6;452;0
453;"-8.798224";"125.313986";"";"";0;0;13;453;353
454;"-9.170187";"124.424386";"";"";0;0;13;454;446
455;"-8.817712";"125.331269";"";"";0;0;7;455;254
456;"-8.751519";"125.396955";"";"";35;0;7;456;243
457;"-8.604572";"125.290925";"";"";46;0;9;457;332
458;"-8.596274";"125.33455";"";"";45;0;9;458;327
459;"-8.554496";"125.536626";"";"";0;0;6;459;222
460;"-8.5698975";"125.61703";"";"";29;0;6;460;200
461;"-9.165072";"125.729753";"";"";53;0;11;461;367
462;"-8.60215";"126.558375";"";"";12;0;3;462;97
463;"-8.560292";"125.538188";"";"";0;0;6;463;215
464;"-8.72295";"126.732198";"";"";0;0;12;464;419
465;"-8.554268";"125.535358";"";"";30;0;6;465;208
466;"-9.302292";"125.281748";"";"";21;0;5;466;168
467;"-9.111212";"125.410302";"";"";22;0;5;467;174
468;"-8.937482";"125.896935";"";"";56;0;11;468;394
469;"-8.702378";"126.367072";"";"";59;0;12;469;406
470;"-8.8635066";"125.585015";"";"";7;0;2;470;0
471;"-8.752345";"126.580195";"";"";0;0;12;471;368
472;"-8.643803";"126.377478";"";"";14;0;3;472;0
473;"-8.64344";"126.541685";"";"";12;0;3;473;84
474;"-8.564879";"125.630908";"";"";29;0;6;474;202
475;"-8.574097";"125.565365";"";"";30;0;6;475;0
476;"-8.757967";"126.673632";"";"";0;0;12;476;0
477;"-8.844704";"125.634507";"";"";7;0;2;477;48
478;"-8.553917";"125.555643";"";"";30;0;6;478;209
479;"-9.356786";"125.166153";"";"";22;0;5;479;174
480;"-8.982526";"125.51893";"";"";5;0;2;480;35
481;"-8.832102";"125.425609";"";"";37;0;7;481;146
482;"-8.558707";"125.568648";"";"";0;0;6;482;215
483;"-8.742613";"126.761678";"";"";39;0;8;483;0
484;"-8.542602";"126.829372";"";"";42;0;8;484;0
485;"-8.636865";"126.546737";"";"";12;0;3;485;0
486;"-8.729397";"126.80124";"";"";39;0;8;486;279
487;"-8.871905";"125.58854";"";"";7;0;2;487;51
488;"-8.454618";"126.441928";"";"";10;0;3;488;69
489;"-8.650213";"125.343071";"";"";45;0;9;489;326
490;"-9.07383";"125.385431";"";"";22;0;5;490;0
491;"-8.989453";"125.515768";"";"";5;0;2;491;34
492;"-9.1410077";"125.208025";"";"";19;0;4;492;152
493;"-8.844133";"126.004023";"";"";48;0;10;493;343
494;"-8.537001";"126.003374";"";"";47;0;10;494;339
495;"-8.8855916";"125.6039683";"";"";5;0;2;495;34
496;"-8.577908";"126.679371";"";"";9;0;3;496;0
497;"-8.769195";"125.410577";"";"";35;0;7;497;243
498;"-8.830206";"125.633305";"";"";7;0;2;498;48
499;"-8.752766";"125.29501";"";"";0;0;7;499;47
500;"-8.782232";"125.101562";"";"";15;0;4;500;0
501;"-8.930757";"125.605997";"";"";0;0;2;501;42
502;"-8.55363";"125.526647";"";"";30;0;6;502;208
503;"-8.750798";"125.90433";"";"";48;0;10;503;343
504;"-8.959553";"125.524233";"";"";5;0;2;504;35
505;"-8.892167";"125.596445";"";"";5;0;2;505;34
506;"-8.488583";"126.77746";"";"";42;0;8;506;301
507;"-8.53832";"125.687335";"";"";29;0;6;507;204
508;"";"";"";"";38;0;7;508;278
509;"-8.52007833";"126.56073";"";"";12;0;3;509;89
510;"-9.02846806";"124.9549187";"";"";20;0;4;510;162
511;"-8.467902";"126.882833";"";"";43;0;8;511;0
512;"-8.659509293";"125.5330013";"";"";2;0;1;512;15
513;"-8.67663333";"125.5505917";"";"";2;0;1;513;15
514;"-8.552843355";"125.5368379";"";"";30;0;6;514;208
515;"-9.32707013";"125.2610938";"";"";21;0;5;515;165
516;"-9.202655";"125.121725";"";"";21;0;5;516;168
517;"-9.290704038";"125.238";"";"";27;0;5;517;192
518;"-9.326952509";"125.2345312";"";"";21;0;5;518;168
519;"-9.143822127";"125.7138323";"";"";53;0;11;519;367
520;"-8.643822877";"126.3759961";"";"";14;0;3;520;108
521;"-8.676796907";"126.3058453";"";"";14;0;3;521;108
522;"-8.687059251";"126.2727229";"";"";14;0;12;522;108
523;"-8.683532725";"126.2463799";"";"";14;0;3;523;108
524;"-8.660962005";"126.2170768";"";"";14;0;12;524;108
525;"-9.239153963";"125.2207464";"";"";27;0;5;525;192
526;"-9.450521224";"125.0890675";"";"";23;0;5;526;0
527;"-9.375879349";"125.1548";"";"";23;0;5;527;0
528;"-9.375840818";"125.1548413";"";"";23;0;5;528;0
529;"-9.351701574";"125.1914991";"";"";21;0;5;529;165
530;"-9.324849556";"125.2391943";"";"";21;0;5;530;165
531;"-9.311965318";"125.2868406";"";"";21;0;5;531;166
532;"-9.281271431";"125.3179164";"";"";21;0;5;532;166
533;"-8.78922645";"125.2580955";"";"";0;0;7;533;249
534;"-9.107458";"125.531498";"";"";5;0;2;534;39
535;"";"";"";"";17;0;4;535;138
